Year,Round,EventName,Location,Country,EventFormat,CircuitType,CircuitLength_km,DRS_Zones
2018,1,Australian Grand Prix,Melbourne,Australia,conventional,street,5.278,4
2018,2,Bahrain Grand Prix,Sakhir,Bahrain,conventional,permanent,5.412,2
2018,3,Chinese Grand Prix,Shanghai,China,conventional,permanent,5.451,2
2018,4,Azerbaijan Grand Prix,Baku,Azerbaijan,conventional,street,6.003,2
2018,5,Spanish Grand Prix,Barcelona,Spain,conventional,permanent,4.675,2
2018,6,Monaco Grand Prix,Monte Carlo,Monaco,conventional,street,3.337,1
2018,7,Canadian Grand Prix,Montréal,Canada,conventional,permanent,4.361,2
2018,8,French Grand Prix,Le Castellet,France,conventional,permanent,5.842,2
2018,9,Austrian Grand Prix,Spielberg,Austria,conventional,permanent,4.318,3
2018,10,British Grand Prix,Silverstone,Great Britain,conventional,permanent,5.891,2
2018,11,German Grand Prix,Hockenheim,Germany,conventional,permanent,4.574,2
2018,12,Hungarian Grand Prix,Budapest,Hungary,conventional,permanent,4.381,1
2018,13,Belgian Grand Prix,Spa-Francorchamps,Belgium,conventional,permanent,7.004,2
2018,14,Italian Grand Prix,Monza,Italy,conventional,permanent,5.793,2
2018,15,Singapore Grand Prix,Singapore,Singapore,conventional,street,4.94,3
2018,16,Russian Grand Prix,Sochi,Russia,conventional,street,5.848,2
2018,17,Japanese Grand Prix,Suzuka,Japan,conventional,permanent,5.807,1
2018,18,United States Grand Prix,Austin,United States,conventional,permanent,5.513,2
2018,19,Mexican Grand Prix,Mexico City,Mexico,conventional,permanent,4.304,3
2018,20,Brazilian Grand Prix,São Paulo,Brazil,conventional,permanent,4.309,2
2018,21,Abu Dhabi Grand Prix,Yas Marina,United Arab Emirates,conventional,permanent,5.281,2
